model_name,arch,M,K,ROW_BLOCK_SIZE,COL_BLOCK_SIZE,PARALLEL_SIZE,BM,BK,bm,avg_latency_s,tile_latency_s,tokens_per_second,rank
Llama-120M,tl1,768,2048,64,128,32,64,128,32,0.010547711967956275,6.8669999791382e-06,12135.333273117552,24
Llama-120M,tl1,768,2048,32,128,32,32,128,32,0.010550476843491197,6.868800028314581e-06,12132.15306746688,25
Llama-120M,tl1,768,2048,64,64,64,64,64,64,0.010569215985015035,6.880999990244163e-06,12110.642850091961,26
Llama-120M,tl1,768,2048,192,128,32,192,128,32,0.010570752038620412,6.8820000251434975e-06,12108.883032385014,27
Llama-120M,tl1,768,2048,192,64,32,192,64,32,0.018030182411894205,5.869200003871811e-06,7099.207155861084,28
Llama-120M,tl1,768,2048,384,64,32,384,64,32,0.018035711953416467,5.8709999848360894e-06,7097.030620726521,29
Llama-120M,tl1,768,2048,128,64,32,128,64,32,0.018103296007029715,5.893000002288318e-06,7070.535661036319,30
Llama-120M,tl1,768,2048,32,64,32,32,64,32,0.018170880060642956,5.915000019740546e-06,7044.237789959352,31
Llama-120M,tl1,768,2048,256,64,32,256,64,32,0.01817702406551689,5.9170000213271125e-06,7041.8567714186565,32
Llama-120M,tl1,768,2048,128,32,64,128,32,64,0.018208358483389017,5.927200027144863e-06,7029.738574005497,33
Llama-120M,tl1,768,2048,64,64,32,64,64,32,0.018226176034659147,5.9330000112822745e-06,7022.866439816747,34
Llama-120M,tl1,768,2048,192,32,64,192,32,64,0.018337382376194,5.969199992250651e-06,6980.276539696989,35
Llama-120M,tl1,768,2048,64,32,64,64,32,64,0.01834905599243939,5.972999997538864e-06,6975.8357079918205,36
Llama-120M,tl1,768,2048,256,32,64,256,32,64,0.018379776016809048,5.983000005471695e-06,6964.1762708609085,37
Llama-120M,tl1,768,2048,384,32,64,384,32,64,0.01839882249478251,5.989200030853681e-06,6956.9669491782915,38
Llama-120M,tl1,768,2048,192,32,32,192,32,32,0.033053490892052645,5.379799949878361e-06,3872.5107861686165,39
Llama-120M,tl1,768,2048,384,32,32,384,32,32,0.033189888065680864,5.4020000106902445e-06,3856.5963147177663,40
Llama-120M,tl1,768,2048,128,32,32,128,32,32,0.033214463945478195,5.405999991126009e-06,3853.74276128957,41
Llama-120M,tl1,768,2048,64,32,32,64,32,32,0.03338772458955645,5.434199965748121e-06,3833.744334887616,42
Llama-120M,tl1,768,2048,32,32,32,32,32,32,0.03450961941853166,5.616800035568304e-06,3709.1107394613578,43
Llama-120M,tl1,768,2048,256,32,32,256,32,32,0.0463503357488662,7.543999959125358e-06,2761.576543771446,44
Llama-120M,tl1,2048,768,512,256,64,512,256,64,0.004665676798322239,1.2150199995630829e-05,27434.39066461448,1
Llama-120M,tl1,2048,768,256,256,64,256,256,64,0.004693478401168249,1.2222600003042316e-05,27271.884316787236,2
Llama-120M,tl1,2048,768,64,256,64,64,256,64,0.004944307185360231,1.28757999618756e-05,25888.35911712759,3
Llama-120M,tl1,2048,768,128,256,64,128,256,64,0.005549798408173956,1.4452600021286344e-05,23063.900809708095,4
Llama-120M,tl1,2048,768,256,128,64,256,128,64,0.006551040027989074,8.530000036444107e-06,19538.88229244895,5
Llama-120M,tl1,2048,768,32,256,32,32,256,32,0.006603263999568298,8.597999999437888e-06,19384.352951565812,6
Llama-120M,tl1,2048,768,128,128,64,128,128,64,0.006614169623935595,8.612200031166139e-06,19352.39149851691,7
Llama-120M,tl1,2048,768,64,256,32,64,256,32,0.006624768016627058,8.626000021649815e-06,19321.431283139493,8
Llama-120M,tl1,2048,768,256,256,32,256,256,32,0.006629529618658126,8.632200024294435e-06,19307.553833043785,9
Llama-120M,tl1,2048,768,128,256,32,128,256,32,0.006643353594699874,8.650199993098795e-06,19267.37726291124,10
Llama-120M,tl1,2048,768,512,128,64,512,128,64,0.006660095974802971,8.671999967191369e-06,19218.942262132594,11
Llama-120M,tl1,2048,768,64,128,64,64,128,64,0.006660249573178589,8.672199965076288e-06,19218.499035751942,12
Llama-120M,tl1,2048,768,512,256,32,512,256,32,0.0074004480207804585,9.636000027057889e-06,17296.25012439463,13
Llama-120M,tl1,2048,768,64,64,64,64,64,64,0.010455244767945258,6.806799979131028e-06,12242.659339017608,14
Llama-120M,tl1,2048,768,256,64,64,256,64,64,0.010488422436174004,6.828400023550784e-06,12203.932553148785,15
Llama-120M,tl1,2048,768,128,64,64,128,64,64,0.010513612779323011,6.844799986538419e-06,12174.692247724395,16
Llama-120M,tl1,2048,768,512,64,64,512,64,64,0.010513612814247609,6.844800009275787e-06,12174.692207281949,17
Llama-120M,tl1,2048,768,64,128,32,64,128,32,0.010534809564705937,6.858599977022095e-06,12150.195901863264,18
Llama-120M,tl1,2048,768,128,128,32,128,128,32,0.010535116761457176,6.858799974907015e-06,12149.841610516289,19
Llama-120M,tl1,2048,768,256,128,32,256,128,32,0.01056000004755333,6.875000030959199e-06,12121.21206662841,20
Llama-120M,tl1,2048,768,32,128,32,32,128,32,0.010581196798011661,6.888799998705508e-06,12096.930285244556,21
Llama-120M,tl1,2048,768,512,128,32,512,128,32,0.010759679996408523,7.0049999976617984e-06,11896.26457689496,22
Llama-120M,tl1,2048,768,128,64,32,128,64,32,0.018029568088240924,5.869000028724259e-06,7099.449048004813,23
Llama-120M,tl1,2048,768,512,64,32,512,64,32,0.01804185602813959,5.873000009160023e-06,7094.613758161049,24
Llama-120M,tl1,2048,768,64,64,32,64,64,32,0.018048000102862713,5.875000033483957e-06,7092.198541139031,25
Llama-120M,tl1,2048,768,256,64,32,256,64,32,0.01806704644113779,5.881200013391208e-06,7084.721922701776,26
Llama-120M,tl1,2048,768,32,64,32,32,64,32,0.018158592050895095,5.911000016567414e-06,7049.004660782082,27
Llama-120M,tl1,2048,768,64,32,64,64,32,64,0.018220646283589305,5.931199962105893e-06,7024.997796883039,28
Llama-120M,tl1,2048,768,512,32,64,512,32,64,0.01825689591933042,5.942999973740371e-06,7011.049444855162,29
Llama-120M,tl1,2048,768,128,32,64,128,32,64,0.01825751031283289,5.94319997162529e-06,7010.813512181396,30
Llama-120M,tl1,2048,768,256,32,64,256,32,64,0.022867967910133305,7.443999970746518e-06,5597.349117464886,31
Llama-120M,tl1,2048,768,64,32,32,64,32,32,0.03305471995845437,5.379999993238016e-06,3872.3667954494827,32
Llama-120M,tl1,2048,768,512,32,32,512,32,32,0.03333857282996178,5.426200004876591e-06,3839.3965048487275,33
Llama-120M,tl1,2048,768,256,32,32,256,32,32,0.03336192006245256,5.430000010164804e-06,3836.7096306323997,34
Llama-120M,tl1,2048,768,128,32,32,128,32,32,0.0333631488494575,5.4302000080497235e-06,3836.568322059965,35
Llama-120M,tl1,2048,768,32,32,32,32,32,32,0.03368017924949526,5.48180000805587e-06,3800.4548328500427,36
Llama-120M,tl1,32000,768,64,256,64,64,256,64,0.0725436000720947,1.2090600012015785e-05,1764.4561322127943,1
Llama-120M,tl1,32000,768,320,256,64,320,256,64,0.07272360007846146,1.212060001307691e-05,1760.0888825897075,2
Llama-120M,tl1,32000,768,256,256,64,256,256,64,0.07335959990086849,1.2226599983478081e-05,1744.8295815812462,3
Llama-120M,tl1,32000,768,128,256,64,128,256,64,0.07343399993260391,1.2238999988767319e-05,1743.0617985875147,4
Llama-120M,tl1,32000,768,320,128,64,320,128,64,0.10278719973939587,8.56559997828299e-06,1245.2912456466179,5
Llama-120M,tl1,32000,768,32,256,32,32,256,32,0.10314720002497779,8.595600002081483e-06,1240.9449793014637,6
Llama-120M,tl1,32000,768,256,128,64,256,128,64,0.1032936001138296,8.607800009485799e-06,1239.1861631208897,7
Llama-120M,tl1,32000,768,256,256,32,256,256,32,0.10329600008844864,8.60800000737072e-06,1239.1573719253236,8
Llama-120M,tl1,32000,768,64,128,64,64,128,64,0.10337040012018406,8.614200010015338e-06,1238.2654981617584,9
Llama-120M,tl1,32000,768,160,256,32,160,256,32,0.103439999929833,8.619999994152749e-06,1237.432328758961,10
